acronym,full_name,category,description
AGI,Artificial General Intelligence,AI/ML,Hypothetical AI with human-level reasoning across any domain.
AI,Artificial Intelligence,AI/ML,"Simulation of human intelligence by machines, including learning, reasoning, and self-correction."
AIOps,AI for IT Operations,AI/ML,"Application of ML to automate and enhance IT operations, anomaly detection, and incident management."
API,Application Programming Interface,AI/ML,Interface enabling programmatic access to AI model inference endpoints.
ASR,Automatic Speech Recognition,AI/ML,Technology that converts spoken language into written text.
AUC,Area Under the Curve,AI/ML,Aggregate measure of classifier performance across all classification thresholds.
AutoML,Automated Machine Learning,AI/ML,"Automation of the end-to-end ML pipeline including data prep, model selection, and hyperparameter tuning."
BERT,Bidirectional Encoder Representations from Transformers,AI/ML,Transformer model pre-trained on masked language modeling for deep bidirectional context.
BLEU,Bilingual Evaluation Understudy,AI/ML,N-gram precision-based metric for evaluating machine-translation quality.
BLEU,Bilingual Evaluation Understudy,AI/ML,Metric comparing n-gram overlap between generated and reference translations.
BPE,Byte-Pair Encoding,AI/ML,Subword tokenization algorithm that iteratively merges frequent byte pairs.
BoW,Bag of Words,AI/ML,Text representation model that treats documents as unordered word-frequency vectors.
CART,Classification and Regression Trees,AI/ML,Decision-tree algorithm supporting both categorical and continuous target variables.
CBOW,Continuous Bag of Words,AI/ML,Word2vec training objective that predicts a word from its surrounding context.
CER,Character Error Rate,AI/ML,Edit-distance-based metric for evaluating OCR and speech recognition at character level.
CNN,Convolutional Neural Network,AI/ML,Neural network specialized for grid-like data such as images.
COT,Chain of Thought,AI/ML,Prompting technique that elicits step-by-step reasoning in LLM outputs.
CRF,Conditional Random Field,AI/ML,Probabilistic sequence-modeling framework for labeling structured data.
CV,Computer Vision,AI/ML,AI field enabling machines to interpret and understand visual information from the world.
CatBoost,Categorical Boosting,AI/ML,Gradient-boosting library with native support for categorical features.
DAG,Directed Acyclic Graph,AI/ML,"Graph structure with directed edges and no cycles, used for probabilistic graphical models and ML pipelines."
DL,Deep Learning,AI/ML,Multi-layered neural networks that learn hierarchical representations from data.
DNN,Deep Neural Network,AI/ML,Neural network with multiple hidden layers between input and output.
DPO,Direct Preference Optimization,AI/ML,RLHF alternative that directly optimizes a policy from preference data without an explicit reward model.
DQN,Deep Q-Network,AI/ML,Deep neural network approximating the Q-value function for reinforcement learning.
EM,Expectation-Maximization,AI/ML,Iterative method for finding maximum-likelihood estimates with latent variables.
F1,F1 Score,AI/ML,"Harmonic mean of precision and recall, used for imbalanced classification evaluation."
FPGA,Field-Programmable Gate Array,AI/ML,Reconfigurable semiconductor device used for low-latency ML inference acceleration.
GAN,Generative Adversarial Network,AI/ML,Two-network architecture (generator + discriminator) that learns to produce realistic data.
GPT,Generative Pre-trained Transformer,AI/ML,Decoder-only transformer model pre-trained on large text corpora for generative tasks.
GPU,Graphics Processing Unit,AI/ML,"Parallel processor originally for graphics, now widely used for ML training and inference."
GRU,Gated Recurrent Unit,AI/ML,Simplified RNN gating architecture with fewer parameters than LSTM.
HMM,Hidden Markov Model,AI/ML,Statistical model for systems with hidden states that generate observable outputs.
IoU,Intersection over Union,AI/ML,Evaluation metric measuring overlap between predicted and ground-truth bounding boxes.
KNN,K-Nearest Neighbors,AI/ML,Non-parametric lazy-learning algorithm that classifies by majority of k nearest points.
LIME,Local Interpretable Model-agnostic Explanations,AI/ML,Technique that approximates model behavior locally with an interpretable surrogate.
LLM,Large Language Model,AI/ML,Transformer-based model with billions of parameters trained on vast text data.
LSTM,Long Short-Term Memory,AI/ML,RNN variant with gating mechanisms that mitigate the vanishing-gradient problem.
LightGBM,Light Gradient Boosting Machine,AI/ML,Fast gradient-boosting framework using histogram-based leaf-wise tree growth.
LoRA,Low-Rank Adaptation,AI/ML,Parameter-efficient fine-tuning method that injects trainable low-rank matrices into frozen weights.
MAB,Multi-Armed Bandit,AI/ML,Online learning framework balancing exploration of new options and exploitation of known rewards.
MAP,Mean Average Precision,AI/ML,Average of precision scores at each relevant item rank across queries.
MCMC,Markov Chain Monte Carlo,AI/ML,Class of sampling algorithms for approximating complex probability distributions.
MDP,Markov Decision Process,AI/ML,Mathematical framework for modeling sequential decision-making under uncertainty.
ML,Machine Learning,AI/ML,Algorithms that improve through experience without being explicitly programmed for every task.
MLE,Machine Learning Engineer,AI/ML,"Role focused on building, deploying, and maintaining machine learning systems in production."
MLOps,Machine Learning Operations,AI/ML,"Practices for deploying, monitoring, and maintaining ML models in production."
MLP,Multilayer Perceptron,AI/ML,Feedforward neural network with at least one hidden layer and non-linear activation.
MMLU,Massive Multitask Language Understanding,AI/ML,Benchmark covering 57 subjects to measure LLM knowledge and reasoning.
MSE,Mean Squared Error,AI/ML,Average of squared differences between predicted and actual values.
MoE,Mixture of Experts,AI/ML,Architecture where different sub-networks (experts) are activated conditionally per input.
NCE,Noise Contrastive Estimation,AI/ML,Parameter estimation method that distinguishes observed data from artificial noise.
NLG,Natural Language Generation,AI/ML,Automated production of human-readable text from structured data.
NLP,Natural Language Processing,AI/ML,AI subfield focused on interaction between computers and human language.
NLU,Natural Language Understanding,AI/ML,Machine comprehension of human language meaning and intent.
NMS,Non-Maximum Suppression,AI/ML,Post-processing technique removing duplicate detections in object detection pipelines.
NPU,Neural Processing Unit,AI/ML,Specialized processor designed for accelerating neural network inference.
OCR,Optical Character Recognition,AI/ML,Conversion of images of printed or handwritten text into machine-encoded text.
ONNX,Open Neural Network Exchange,AI/ML,Interchange format for deep-learning models across different frameworks.
PCA,Principal Component Analysis,AI/ML,Unsupervised dimensionality-reduction technique that maximizes variance along orthogonal components.
PPO,Proximal Policy Optimization,AI/ML,Policy-gradient RL algorithm that constrains update size for stable training.
RAG,Retrieval-Augmented Generation,AI/ML,Hybrid architecture that retrieves relevant documents before generating an answer.
RL,Reinforcement Learning,AI/ML,Learning paradigm where an agent maximizes cumulative reward through environment interaction.
RLHF,Reinforcement Learning from Human Feedback,AI/ML,Fine-tuning approach that uses human preferences as reward signals for RL.
RNN,Recurrent Neural Network,AI/ML,Neural network with internal memory for sequential data processing.
ROC,Receiver Operating Characteristic,AI/ML,Graphical plot of true-positive vs false-positive rate across thresholds.
ROUGE,Recall-Oriented Understudy for Gisting Evaluation,AI/ML,Set of recall-oriented metrics for automatic summarization evaluation.
ReLU,Rectified Linear Unit,AI/ML,"Activation function outputting max(0, x), widely used in deep networks."
SFT,Supervised Fine-Tuning,AI/ML,Training a pre-trained model on labeled task-specific data.
SGD,Stochastic Gradient Descent,AI/ML,Iterative optimization method using random subsets of data per step.
SHAP,SHapley Additive exPlanations,AI/ML,Game-theoretic approach to explain model predictions via Shapley values.
SVM,Support Vector Machine,AI/ML,Supervised learning model that finds the optimal separating hyperplane.
TF-IDF,Term Frequency–Inverse Document Frequency,AI/ML,Numerical statistic reflecting the importance of a word in a document corpus.
TPU,Tensor Processing Unit,AI/ML,Google's custom ASIC for accelerating tensor computations in machine learning.
TRL,Transformer Reinforcement Learning,AI/ML,"Library and methodology for fine-tuning transformers with RL, notably RLHF."
TTS,Text-to-Speech,AI/ML,Synthesis of human-like speech from written text input.
VAE,Variational Autoencoder,AI/ML,Generative model that learns latent probabilistic representations of input data.
VLM,Vision-Language Model,AI/ML,Multimodal model that processes both visual and textual inputs jointly.
WER,Word Error Rate,AI/ML,"Metric for evaluating speech recognition systems by counting word-level substitutions, insertions, and deletions."
XAI,Explainable AI,AI/ML,Techniques and methods that make AI model decisions interpretable and transparent to humans.
XGBoost,Extreme Gradient Boosting,AI/ML,Optimized gradient-boosting library with regularization and parallel processing.
k-fold,k-Fold Cross-Validation,AI/ML,Resampling procedure evaluating model performance by rotating train/test splits across k folds.
mAP,Mean Average Precision,AI/ML,Average of average precision scores across all classes in object detection tasks.
t-SNE,t-Distributed Stochastic Neighbor Embedding,AI/ML,Non-linear dimensionality reduction for visualizing high-dimensional data in 2D/3D.
AA,Account Abstraction,Blockchain,Ethereum standard enabling smart-contract wallets with programmable transaction logic.
ABI,Application Binary Interface,Blockchain,Interface defining how to interact with a smart contract on EVM-compatible chains.
AML,Anti-Money Laundering,Blockchain,Regulatory compliance framework preventing illicit financial flows.
AMM,Automated Market Maker,Blockchain,Decentralized exchange mechanism using algorithmic pricing instead of order books.
APR,Annual Percentage Rate,Blockchain,Simple annual interest rate without compounding.
APY,Annual Percentage Yield,Blockchain,Effective annual rate of return including compounding effects.
Aptos,Aptos L1 Blockchain,Blockchain,Move-based L1 blockchain with parallel execution and BFT consensus.
Arbitrum,Arbitrum L2 Scaling,Blockchain,Optimistic rollup securing Ethereum transactions with interactive fraud proofs.
Avalanche,Avalanche C-Chain,Blockchain,EVM-compatible Subnet with high throughput and sub-second finality.
BIP-32,Bitcoin Improvement Proposal 32,Blockchain,Standard for hierarchical deterministic wallet key derivation.
BIP-39,Bitcoin Improvement Proposal 39,Blockchain,Standard defining mnemonic seed phrases for deterministic wallets.
BIP-44,Bitcoin Improvement Proposal 44,Blockchain,Multi-coin hierarchy for deterministic wallets with separate account paths.
BPS,Basis Points,Blockchain,"Unit equal to 0.01%, commonly used for fees and spreads in DeFi."
BTC,Bitcoin,Blockchain,"First decentralized cryptocurrency, enabling peer-to-peer transactions without intermediaries."
Base,Base L2 Chain,Blockchain,Coinbase's EVM-equivalent L2 built on the OP Stack.
Bridge,Blockchain Bridge,Blockchain,Protocol transferring assets or data between different blockchains.
CCIP,Cross-Chain Interoperability Protocol,Blockchain,Chainlink's open standard for secure cross-chain messaging and token transfers.
CEX,Centralized Exchange,Blockchain,Cryptocurrency exchange operated by a company that holds user funds.
CEX,Centralized Exchange,Blockchain,Exchange operated by a company that holds user funds and matches orders internally.
DAI,DAI Stablecoin,Blockchain,"Decentralized, collateral-backed stablecoin pegged to the US dollar."
DAO,Decentralized Autonomous Organization,Blockchain,Organization governed by smart contracts and community voting rather than central management.
DAO,Decentralized Autonomous Organization,Blockchain,Entity managed by coded rules and collective member voting on a blockchain.
DApp,Decentralized Application,Blockchain,Application running on a peer-to-peer blockchain network rather than a central server.
DEX,Decentralized Exchange,Blockchain,Peer-to-peer exchange operating without a central custodian of funds.
DEX,Decentralized Exchange,Blockchain,Exchange operating autonomously via smart contracts without custodial control.
DID,Decentralized Identifier,Blockchain,Self-sovereign identifier not dependent on any centralized registry.
DPoS,Delegated Proof of Stake,Blockchain,PoS variant where token holders vote for delegates who validate transactions.
DeFi,Decentralized Finance,Blockchain,Financial applications built on blockchain without traditional intermediaries.
ECDSA,Elliptic Curve Digital Signature Algorithm,Blockchain,Cryptographic algorithm used for digital signatures in most blockchain protocols.
EIP-1559,Ethereum Improvement Proposal 1559,Blockchain,Ethereum fee-market overhaul burning base fees and introducing variable block size.
EIP-4844,Ethereum Improvement Proposal 4844 (Proto-Danksharding),Blockchain,EIP introducing blob-carrying transactions for cheaper L2 data availability.
ERC-1155,Ethereum Request for Comment 1155,Blockchain,Multi-token standard supporting both fungible and non-fungible assets in one contract.
ERC-20,Ethereum Request for Comment 20,Blockchain,Standard interface for fungible tokens on Ethereum.
ERC-4337,Ethereum Request for Comment 4337,Blockchain,Account abstraction standard enabling smart-contract wallets without protocol changes.
ERC-4626,Ethereum Request for Comment 4626,Blockchain,Standardized yield-bearing vault interface for tokenized strategies.
ERC-721,Ethereum Request for Comment 721,Blockchain,Standard interface for non-fungible tokens (NFTs) on Ethereum.
ETH,Ethereum,Blockchain,Decentralized smart-contract platform enabling programmable blockchain applications.
EVM,Ethereum Virtual Machine,Blockchain,Runtime environment executing smart contracts on the Ethereum blockchain.
FDV,Fully Diluted Valuation,Blockchain,Project market cap assuming all tokens are circulating at current price.
GM,Gas Meter / Global Market,Blockchain,Common crypto slang for 'good morning' and shared community greeting.
GMP,General Message Passing,Blockchain,Cross-chain communication standard enabling arbitrary data transfer between blockchains.
HD Wallet,Hierarchical Deterministic Wallet,Blockchain,Wallet generating multiple key pairs from a single mnemonic seed.
IBC,Inter-Blockchain Communication,Blockchain,Cosmos protocol enabling data and token transfers across heterogeneous blockchains.
ICO,Initial Coin Offering,Blockchain,Crowdfunding method selling tokens to early investors.
IDO,Initial DEX Offering,Blockchain,Token launch conducted on a decentralized exchange.
IEO,Initial Exchange Offering,Blockchain,Token launch conducted through a centralized exchange.
IPFS,InterPlanetary File System,Blockchain,Decentralized peer-to-peer hypermedia protocol for content-addressed storage.
KYC,Know Your Customer,Blockchain,Identity verification processes required by regulated cryptocurrency platforms.
L1,Layer 1 (Blockchain),Blockchain,"Base blockchain protocol handling consensus, security, and finality."
L2,Layer 2 (Scaling),Blockchain,Off-chain or side-chain solution scaling a base blockchain's throughput.
LP,Liquidity Provider,Blockchain,User who deposits tokens into a DeFi liquidity pool to earn fees.
LayerZero,LayerZero Omnichain Protocol,Blockchain,Omnichain interoperability protocol enabling trustless cross-chain messaging.
MC,Market Capitalization,Blockchain,Total circulating supply multiplied by current token price.
MEV,Maximal Extractable Value,Blockchain,"Profit block producers can extract by reordering, including, or excluding transactions."
MPC,Multi-Party Computation,Blockchain,Cryptographic protocol enabling joint computation without revealing private inputs.
Merkle,Merkle Tree,Blockchain,Hash-based data structure allowing efficient verification of large data sets.
Multisig,Multi-Signature Wallet,Blockchain,Wallet requiring multiple private key signatures to authorize a transaction.
NEAR,NEAR Protocol,Blockchain,Sharded L1 blockchain with human-readable account names and Nightshade consensus.
NFT,Non-Fungible Token,Blockchain,Unique cryptographic token representing ownership of a specific digital or physical asset.
OR,Optimistic Rollup,Blockchain,Rollup that assumes transactions are valid unless challenged via fraud proof.
Optimism,Optimism OP Stack,Blockchain,Optimistic rollup using single-round fraud proofs and EVM equivalence.
Oracle,Blockchain Oracle,Blockchain,Service providing off-chain data to smart contracts on-chain.
PBFT,Practical Byzantine Fault Tolerance,Blockchain,Consensus algorithm tolerating Byzantine faults in distributed networks.
Plasma,Plasma Scaling Framework,Blockchain,Layer-2 framework with child chains committing state roots to the main chain.
PoS,Proof of Stake,Blockchain,Consensus mechanism where validators stake tokens for transaction validation.
PoW,Proof of Work,Blockchain,Consensus mechanism requiring computational work to validate transactions and mint blocks.
Polygon,Polygon zkEVM,Blockchain,L2 scaling solution offering ZK-rollup with EVM compatibility.
Rollup,Rollup Scaling Solution,Blockchain,L2 technology that bundles transactions off-chain and posts compressed data to L1.
SHA-256,Secure Hash Algorithm 256-bit,Blockchain,Cryptographic hash function used in Bitcoin's proof-of-work and address generation.
Seed Phrase,Seed Phrase / Mnemonic,Blockchain,Human-readable mnemonic encoding the entropy for HD wallet key derivation.
Sidechain,Sidechain Scaling,Blockchain,Separate blockchain running in parallel to a main chain with its own consensus.
Slippage,Slippage Tolerance,Blockchain,Allowed price deviation between trade submission and execution on a DEX.
Solana,Solana L1 Blockchain,Blockchain,High-performance L1 blockchain using Proof of History for parallel transaction processing.
StarkNet,StarkNet L2 Scaling,Blockchain,"ZK-rollup using STARK proofs for scalable, trustless computation."
State Channel,State Channel Scaling,Blockchain,Off-chain transaction channel settled on the main chain only on open/close.
Sui,Sui L1 Blockchain,Blockchain,Move-based L1 blockchain with object-centric data model and horizontal scaling.
TGE,Token Generation Event,Blockchain,Event where a project creates and distributes its native tokens.
TON,The Open Network,Blockchain,Telegram-backed L1 blockchain with sharding and asynchronous smart contracts.
TVL,Total Value Locked,Blockchain,"Total value of assets deposited in a DeFi protocol, measured in USD."
TVL,Total Value Locked,Blockchain,Capital deposited into a DeFi protocol's smart contracts.
USDC,USD Coin,Blockchain,Regulated stablecoin pegged to the US dollar by Circle.
USDT,Tether USD,Blockchain,"Stablecoin pegged to the US dollar, issued on multiple blockchains."
Validium,Validium Scaling,Blockchain,L2 solution using validity proofs with off-chain data availability.
WBTC,Wrapped Bitcoin,Blockchain,"ERC-20 token pegged 1:1 to Bitcoin, enabling BTC use on Ethereum."
WETH,Wrapped Ether,Blockchain,ERC-20–wrapped version of Ether for DeFi composability.
Wormhole,Wormhole Bridge Protocol,Blockchain,Cross-chain messaging bridge connecting multiple blockchains via guardian validators.
ZK,Zero Knowledge,Blockchain,Cryptographic technique enabling verification of truth without revealing underlying data.
ZKR,Zero-Knowledge Rollup,Blockchain,Rollup using validity proofs to instantly confirm transaction batches.
zk-SNARK,Zero-Knowledge Succinct Non-Interactive Argument of Knowledge,Blockchain,Compact zero-knowledge proof requiring minimal verification computation.
zk-STARK,Zero-Knowledge Scalable Transparent ARgument of Knowledge,Blockchain,"ZK proof without trusted setup, scalable via transparent verification."
zkSync,zkSync Era,Blockchain,ZK-rollup L2 providing low-cost scaling with validity proofs.
ACIDi,"Atomicity, Consistency, Isolation, Durability (infra)",Cloud/Infra,Infrastructure design principles ensuring reliable state changes akin to database ACID.
AMI,Amazon Machine Image,Cloud/Infra,Pre-configured virtual machine template used to launch EC2 instances.
API,Application Programming Interface,Cloud/Infra,Set of defined protocols enabling software components to communicate.
APT,Advanced Package Tool,Cloud/Infra,Package management system used by Debian-based Linux distributions.
Ansible,Ansible Automation,Cloud/Infra,Red Hat agentless configuration management and automation tool using YAML playbooks.
CD,Continuous Delivery/Deployment,Cloud/Infra,Practice of automatically releasing integrated changes to production.
CDN,Content Delivery Network,Cloud/Infra,Globally distributed network of proxy servers that deliver content with low latency.
CI,Continuous Integration,Cloud/Infra,Practice of automatically building and testing code changes on every push.
CLI,Command-Line Interface,Cloud/Infra,Text-based interface for issuing commands to a computer program.
CNI,Container Network Interface,Cloud/Infra,Plugin-based networking layer for Linux containers.
CORS,Cross-Origin Resource Sharing,Cloud/Infra,Browser security mechanism allowing controlled access to resources from a different origin.
COS,Container-Optimized OS,Cloud/Infra,Google's minimal OS image for running containers on Compute Engine and GKE.
CRD,Custom Resource Definition,Cloud/Infra,Kubernetes extension mechanism for defining custom resource types.
CRI,Container Runtime Interface,Cloud/Infra,Kubernetes API enabling pluggable container runtimes.
CSI,Container Storage Interface,Cloud/Infra,Standard interface for exposing storage systems to container workloads.
CaaS,Containers as a Service,Cloud/Infra,Cloud service that provides container orchestration and management.
Crossplane,Crossplane Control Plane,Cloud/Infra,Open-source control plane framework orchestrating infrastructure via Kubernetes CRDs.
DDoS,Distributed Denial of Service,Cloud/Infra,Malicious attempt to disrupt service by overwhelming it with traffic from multiple sources.
DHCP,Dynamic Host Configuration Protocol,Cloud/Infra,Network protocol that automatically assigns IP addresses and network configs to devices.
DNS,Domain Name System,Cloud/Infra,Hierarchical naming system that translates domain names to IP addresses.
Docker,Docker Container Engine,Cloud/Infra,"Platform for developing, shipping, and running applications in lightweight containers."
EBS,Elastic Block Store,Cloud/Infra,AWS persistent block-level storage volume for EC2 instances.
EC2,Elastic Compute Cloud,Cloud/Infra,AWS virtual server offering resizable compute capacity in the cloud.
ECS,Elastic Container Service,Cloud/Infra,AWS container orchestration service supporting Docker containers.
EKS,Elastic Kubernetes Service,Cloud/Infra,AWS managed Kubernetes service for container orchestration.
FaaS,Function as a Service,Cloud/Infra,Serverless compute model where individual functions execute in response to events.
Flatcar,Flatcar Container Linux,Cloud/Infra,Immutable Linux distribution optimized for container workloads and K8s.
HAProxy,High Availability Proxy,Cloud/Infra,Open-source TCP/HTTP load balancer and proxy server.
HPA,Horizontal Pod Autoscaler,Cloud/Infra,Kubernetes component that automatically scales pod replicas based on metrics.
HTTPS,Hypertext Transfer Protocol Secure,Cloud/Infra,"HTTP over TLS/SSL, ensuring encrypted web communication."
Helm,Helm Package Manager for Kubernetes,Cloud/Infra,Kubernetes package manager that simplifies deploying and managing applications.
Hyper-V,Hyper-Visor,Cloud/Infra,Microsoft hardware virtualization product for running multiple OS instances.
IAM,Identity and Access Management,Cloud/Infra,Framework of policies and technologies for managing digital identities and access.
IaC,Infrastructure as Code,Cloud/Infra,Managing and provisioning infrastructure through machine-readable definition files.
IaaS,Infrastructure as a Service,Cloud/Infra,Cloud model providing virtualized computing resources over the internet.
K8s,Kubernetes,Cloud/Infra,"Open-source container orchestration platform for automating deployment, scaling, and management."
KVM,Kernel-based Virtual Machine,Cloud/Infra,Linux kernel module providing full virtualization capabilities.
LB,Load Balancer,Cloud/Infra,Device or software that distributes network traffic across multiple servers.
LKE,Linode Kubernetes Engine,Cloud/Infra,Managed Kubernetes service on Linode cloud infrastructure.
LVM,Logical Volume Manager,Cloud/Infra,Storage management layer providing flexible volume management for Linux.
MTBF,Mean Time Between Failures,Cloud/Infra,"Average elapsed time between system failures, used as a reliability metric."
MTTR,Mean Time to Recovery,Cloud/Infra,Average time required to restore a failed system to working state.
NAT,Network Address Translation,Cloud/Infra,Method of remapping one IP address space to another by modifying packet headers.
Nix,Nix Package Manager,Cloud/Infra,Purely functional package manager with reproducible builds and declarative configurations.
NixOS,NixOS Linux Distribution,Cloud/Infra,Linux distribution built on Nix package manager with declarative system configuration.
OIDC,OpenID Connect,Cloud/Infra,Identity authentication layer built on top of OAuth 2.0.
PaaS,Platform as a Service,Cloud/Infra,Cloud model offering a platform for application development and deployment without managing underlying infrastructure.
Pulumi,Pulumi Infrastructure as Code,Cloud/Infra,IaC tool using general-purpose programming languages instead of DSLs.
QoS,Quality of Service,Cloud/Infra,Mechanisms to prioritize network traffic types and guarantee performance.
RAID,Redundant Array of Independent Disks,Cloud/Infra,Data storage virtualization combining multiple drives for redundancy or performance.
RBAC,Role-Based Access Control,Cloud/Infra,Authorization framework restricting system access based on user roles.
RDS,Relational Database Service,Cloud/Infra,AWS managed relational database service supporting multiple database engines.
REST,Representational State Transfer,Cloud/Infra,Architectural style for distributed hypermedia systems using stateless operations.
RPM,Revolutions Per Minute / Red Hat Package Manager,Cloud/Infra,Package management system for Red Hat–based Linux distributions.
S3,Simple Storage Service,Cloud/Infra,AWS object storage service with virtually unlimited scalability.
SDK,Software Development Kit,Cloud/Infra,"Collection of tools, libraries, and documentation for building software on a platform."
SELinux,Security-Enhanced Linux,Cloud/Infra,Linux kernel security module providing mandatory access control policies.
SLA,Service Level Agreement,Cloud/Infra,"Contract defining expected service levels, uptime guarantees, and remedies."
SLI,Service Level Indicator,Cloud/Infra,Quantitative metric measuring a specific aspect of service performance.
SLO,Service Level Objective,Cloud/Infra,Target value or range for a service level indicator over a time window.
SRE,Site Reliability Engineering,Cloud/Infra,Discipline applying software engineering to infrastructure operations and reliability.
SSH,Secure Shell,Cloud/Infra,Cryptographic network protocol for secure remote login and command execution.
SSL,Secure Sockets Layer,Cloud/Infra,"Predecessor to TLS, providing encrypted communication between client and server."
SaaS,Software as a Service,Cloud/Infra,Software delivery model where applications are hosted and accessed via the internet.
TDD,Time Division Duplexing,Cloud/Infra,Communication channel sharing technique where uplink and downlink use the same frequency but different time slots.
TLS,Transport Layer Security,Cloud/Infra,Cryptographic protocol providing secure communication over a network.
TUI,Text User Interface,Cloud/Infra,Full-screen terminal interface with interactive elements beyond plain CLI.
Talos,Talos Linux,Cloud/Infra,Immutable Linux distribution designed specifically for Kubernetes deployment.
Terraform,Terraform Infrastructure Provisioning,Cloud/Infra,"HashiCorp tool for building, changing, and versioning infrastructure declaratively."
Terraform,Terraform by HashiCorp,Cloud/Infra,Declarative infrastructure-as-code tool provisioning resources across multiple cloud providers.
VM,Virtual Machine,Cloud/Infra,Software emulation of a physical computer running an operating system and applications.
VMware,Virtual Machine ware,Cloud/Infra,Virtualization platform enabling multiple VMs on a single physical host.
VPA,Vertical Pod Autoscaler,Cloud/Infra,Kubernetes component that adjusts CPU/memory requests of containers dynamically.
VPC,Virtual Private Cloud,Cloud/Infra,Isolated private network section within a public cloud environment.
VPN,Virtual Private Network,Cloud/Infra,Encrypted tunnel that provides secure remote access to a private network.
WAF,Web Application Firewall,Cloud/Infra,Security appliance that filters and monitors HTTP traffic to and from web applications.
YUM,Yellowdog Updater Modified,Cloud/Infra,Command-line package manager for RPM-based Linux systems.
gRPC,gRPC Remote Procedure Call,Cloud/Infra,High-performance RPC framework using HTTP/2 and Protocol Buffers.
nginx,Engine X,Cloud/Infra,"High-performance web server, reverse proxy, and load balancer."
ACID,"Atomicity, Consistency, Isolation, Durability",Data,Set of properties guaranteeing reliable processing of database transactions.
AOF,Append-Only File,Data,Redis persistence method logging every write operation for crash recovery.
Airflow,Apache Airflow,Data,"Workflow orchestration platform for authoring, scheduling, and monitoring data pipelines."
Athena,AWS Athena,Data,Serverless interactive query service analyzing data directly in S3 using SQL.
Avro,Apache Avro,Data,Row-oriented data serialization framework with rich schema evolution.
B-tree,Balanced Tree Index,Data,Self-balancing tree data structure maintaining sorted data for efficient insertions and lookups.
BASE,"Basically Available, Soft state, Eventually consistent",Data,Design philosophy for distributed databases prioritizing availability over strict consistency.
BLOB,Binary Large Object,Data,"Database data type for storing binary files such as images, audio, or video."
BWT,Burrows-Wheeler Transform,Data,Block-sorting data compression preprocessing used in bzip2.
