acronym,full_name,category,description
BigQuery,Google BigQuery,Data,Serverless multi-cloud data warehouse with built-in ML capabilities.
Bloom Filter,Bloom Filter,Data,Probabilistic set membership data structure with configurable false-positive rate.
CAP,"Consistency, Availability, Partition tolerance",Data,Theorem stating a distributed data system can guarantee only two of three properties at once.
CDC,Change Data Capture,Data,Technique capturing database changes in real time for replication or streaming.
CRUD,"Create, Read, Update, Delete",Data,Four basic operations of persistent storage in database systems.
CSV,Comma-Separated Values,Data,Simple delimited text format for tabular data.
CTE,Common Table Expression,Data,"Named temporary result set within a SQL query, improving readability and recursion."
Cassandra,Apache Cassandra,Data,Distributed wide-column NoSQL database with high availability and no single point of failure.
ClickHouse,ClickHouse Columnar DB,Data,Column-oriented DBMS for real-time analytical queries on large datasets.
DCL,Data Control Language,Data,"SQL subset for access control (GRANT, REVOKE)."
DDL,Data Definition Language,Data,"SQL subset for defining and modifying database structures (CREATE, ALTER, DROP)."
DL,Data Lake,Data,Storage repository holding vast amounts of raw data in native formats.
DM,Data Mart,Data,Subset of a data warehouse focused on a specific business domain.
DML,Data Manipulation Language,Data,"SQL subset for manipulating data (INSERT, UPDATE, DELETE)."
DQL,Data Query Language,Data,SQL subset for querying and reading data (SELECT statements).
DW,Data Warehouse,Data,"Centralized repository for structured, cleaned data optimized for analytics and reporting."
Dagster,Dagster Data Orchestrator,Data,Data orchestrator focusing on asset-based workflow definitions and observability.
Data Fabric,Data Fabric Architecture,Data,"Architecture enabling automated, connected data management across hybrid environments."
Data Mesh,Data Mesh Architecture,Data,Decentralized sociotechnical architecture treating data as a product by domain.
Data Vault,Data Vault Modeling,Data,"Enterprise data warehouse modeling method with hubs, links, and satellites."
DataOps,Data Operations,Data,Agile methodology for automating and orchestrating data pipeline lifecycles.
Databricks,Databricks Lakehouse,Data,Unified data analytics platform combining data lake and warehouse capabilities.
Delta Lake,Delta Lake,Data,Open-source storage layer bringing ACID transactions to data lakes.
DuckDB,DuckDB Analytical Database,Data,In-process columnar analytical database optimized for data science and analytics.
EDW,Enterprise Data Warehouse,Data,Centralized warehouse covering an entire organization's structured data.
ELT,"Extract, Load, Transform",Data,Modern pipeline variant loading raw data first and transforming in the target database.
ETL,"Extract, Transform, Load",Data,"Pipeline process of extracting data from sources, transforming it, and loading it into a target system."
Elasticsearch,Elasticsearch Search Engine,Data,Distributed search and analytics engine based on the Lucene library.
FK,Foreign Key,Data,Database constraint maintaining referential integrity between tables.
Feast,Feast Feature Store,Data,Open-source feature store for managing and serving ML features.
Flink,Apache Flink,Data,Stream-processing framework for stateful computations over data streams.
Glue,AWS Glue,Data,Serverless ETL service for preparing and transforming data for analytics.
Grafana,Grafana Observability,Data,Open-source analytics and monitoring platform for time-series data.
Great Expectations,Great Expectations,Data,"Open-source data quality framework for validating, documenting, and profiling data."
HBase,Apache HBase,Data,"Distributed, scalable, big data NoSQL store modeled after Google Bigtable."
HDFS,Hadoop Distributed File System,Data,Distributed file system designed to run on commodity hardware for big data.
Hadoop,Apache Hadoop,Data,Framework for distributed storage and processing of large datasets across clusters.
Hive,Apache Hive,Data,Data warehouse infrastructure built on Hadoop for data summarization and querying.
Hopsworks,Hopsworks Feature Store,Data,Feature store and ML platform with online and offline feature serving.
HyperLogLog,HyperLogLog Cardinality Estimation,Data,Probabilistic algorithm for approximating the number of distinct elements.
Index,Database Index,Data,Data structure improving the speed of data retrieval operations on a table.
Inmon,Inmon Data Vault,Data,Data warehouse methodology emphasizing normalized enterprise data models.
JSON,JavaScript Object Notation,Data,Lightweight data-interchange format based on key-value pairs and arrays.
Kafka,Apache Kafka,Data,Distributed event-streaming platform for high-throughput data pipelines.
Kibana,Kibana Visualization,Data,Data visualization dashboard for Elasticsearch data.
Kimball,Kimball Dimensional Modeling,Data,Data warehouse methodology based on star schemas and dimension facts.
Kubeflow,Kubeflow ML Platform,Data,Kubernetes-native platform for deploying and managing ML workflows.
LSM,Log-Structured Merge-Tree,Data,Write-optimized data structure used by many NoSQL and time-series databases.
Logstash,Logstash Data Pipeline,Data,Server-side data processing pipeline for ingesting and transforming logs.
Looker,Looker BI Platform,Data,Business intelligence platform for data exploration and embedded analytics.
MLOps,Machine Learning Operations,Data,Practices and tools for automating and managing production ML pipelines.
MLflow,MLflow ML Platform,Data,"Open-source platform managing the ML lifecycle: experimentation, reproducibility, deployment."
MVCC,Multi-Version Concurrency Control,Data,Concurrency control method providing snapshots of data for consistent reads without locking.
MapReduce,MapReduce Programming Model,Data,Programming paradigm for processing large datasets in parallel across a cluster.
MongoDB,MongoDB Document Database,Data,Document-oriented NoSQL database with flexible schemas and horizontal scaling.
MySQL,MySQL RDBMS,Data,Popular open-source relational database management system.
Neo4j,Neo4j Graph Database,Data,Leading graph database management system using labeled property graph model.
NoSQL,Not Only SQL,Data,"Database paradigm embracing non-relational models including document, key-value, columnar, and graph."
ODS,Operational Data Store,Data,Database integrating data from multiple source systems for operational reporting.
OLAP,Online Analytical Processing,Data,Database workload optimized for complex analytical queries and aggregations.
OLTP,Online Transaction Processing,Data,"Database workload characterized by high-volume, short, atomic transactions."
ORC,Optimized Row Columnar,Data,"Columnar storage format from Apache Hive, optimized for large-scale read operations."
PACELC,"Partition, Availability, Consistency — Else, Latency, Consistency",Data,Extension of CAP theorem addressing trade-offs during normal operation.
PK,Primary Key,Data,Uniquely identifying column or column set for each row in a table.
Parquet,Apache Parquet,Data,Columnar storage file format optimized for analytical workloads and compression.
Postgres,PostgreSQL,Data,Advanced open-source relational database with extensibility and SQL compliance.
Prefect,Prefect Workflow Orchestration,Data,Modern workflow orchestration framework with Python-native DAG definitions.
Pub/Sub,Publish/Subscribe,Data,Messaging pattern where producers send messages to topics consumed by subscribers.
Query,Database Query,Data,Request for data from a database using SQL or other query languages.
RDB,Redis Database Snapshot,Data,Point-in-time Redis snapshot persistence file.
RDBMS,Relational Database Management System,Data,Database system storing data in structured tables with defined relationships.
RDP,Row-Level Security,Data,Database security feature restricting access to rows based on user context.
RLE,Run-Length Encoding,Data,Data compression technique replacing repeated consecutive values with count-value pairs.
RQ,Reservoir Sampling,Data,Algorithm for selecting a random sample of k items from a stream of unknown size.
Redis,Redis In-Memory Store,Data,"In-memory data structure store used as cache, message broker, and database."
Redshift,Amazon Redshift,Data,AWS cloud data warehouse using columnar storage and massively parallel processing.
Replica,Database Replica,Data,"Copy of a database used for read scaling, availability, or disaster recovery."
S3,Simple Storage Service,Data,AWS object storage commonly used as a data-lake foundation.
SP,Stored Procedure,Data,Precompiled SQL routine stored in the database for reuse.
SQL,Structured Query Language,Data,Standardized language for managing and querying relational databases.
SQLite,SQLite Embedded Database,Data,"Self-contained, serverless, zero-config SQL database engine."
SageMaker,AWS SageMaker,Data,"AWS managed service for building, training, and deploying ML models."
Shard,Database Sharding,Data,Horizontal partitioning of a database across multiple servers.
Snowflake,Snowflake Data Cloud,Data,Multi-cloud data platform with separate compute and storage for analytics.
Spark,Apache Spark,Data,Unified analytics engine for large-scale data processing with in-memory computation.
Superset,Apache Superset,Data,Open-source business intelligence web application with rich visualization.
TCL,Transaction Control Language,Data,"SQL subset for managing transactions (COMMIT, ROLLBACK, SAVEPOINT)."
TDE,Transparent Data Encryption,Data,Database feature encrypting data at rest without application changes.
TFX,TensorFlow Extended,Data,Production ML pipeline platform for deploying and managing TF models.
Tableau,Tableau Analytics,Data,Visual analytics platform for creating interactive dashboards and data discovery.
TimescaleDB,TimescaleDB Time-Series DB,Data,PostgreSQL extension for time-series data with automatic partitioning.
UDF,User-Defined Function,Data,Custom function created by a user extending a database's built-in capabilities.
Vertex AI,Google Vertex AI,Data,"Managed ML platform for building, training, and deploying models at scale."
View,Database View,Data,Virtual table representing the result of a stored query.
WAL,Write-Ahead Log,Data,Database journaling technique ensuring durability by logging changes before applying them.
Window,Window Function,Data,SQL function performing calculations across a set of rows related to the current row.
YARN,Yet Another Resource Negotiator,Data,Hadoop cluster resource-management and job-scheduling layer.
dbt,Data Build Tool,Data,Transformation tool enabling analytics engineers to transform data in warehouse using SQL.
dbt,Data Build Tool,Data,Transformation workflow tool enabling SQL-first data modeling in warehouses.
2FA,Two-Factor Authentication,Security,Authentication requiring exactly two distinct verification factors.
ACL,Access Control List,Security,List of permissions attached to a resource defining who can access it and how.
AD,Active Directory,Security,Microsoft directory service for managing domain networks and identity.
APT,Advanced Persistent Threat,Security,"Covert, prolonged cyber attack by a sophisticated adversary."
BYOD,Bring Your Own Device,Security,Organizational policy allowing employees to use personal devices for work.
C2,Command and Control,Security,Infrastructure used by attackers to remotely control compromised systems.
CA,Certificate Authority,Security,Entity that issues and signs digital certificates for identity verification.
CASB,Cloud Access Security Broker,Security,Policy enforcement point between cloud service consumers and providers.
CIEM,Cloud Infrastructure Entitlement Management,Security,Identity security solution managing cloud permissions and minimizing excessive access.
CIS,Center for Internet Security,Security,Nonprofit publishing benchmark hardening guides and security configuration standards.
CRL,Certificate Revocation List,Security,List of certificates that have been revoked before their expiration date.
CSPM,Cloud Security Posture Management,Security,Automated tooling identifying misconfigurations and compliance violations in cloud environments.
CSRF,Cross-Site Request Forgery,Security,Attack vector that forces authenticated users to execute unwanted actions.
CVE,Common Vulnerabilities and Exposures,Security,Publicly disclosed cybersecurity vulnerabilities with unique identifiers.
CVSS,Common Vulnerability Scoring System,Security,Standard framework for rating the severity of security vulnerabilities.
CWPP,Cloud Workload Protection Platform,Security,Security solution protecting workloads across cloud environments.
DAST,Dynamic Application Security Testing,Security,Black-box security testing scanning running applications for vulnerabilities.
DDoS,Distributed Denial of Service,Security,DoS attack originating from many distributed sources simultaneously.
DKIM,DomainKeys Identified Mail,Security,Email authentication method using digital signatures to verify sender domain.
DLP,Data Loss Prevention,Security,Strategies and tools preventing unauthorized access or transmission of sensitive data.
DMARC,"Domain-based Message Authentication, Reporting & Conformance",Security,Email authentication policy framework combining SPF and DKIM.
DNSSEC,DNS Security Extensions,Security,Suite of extensions securing DNS data with digital signatures.
DoS,Denial of Service,Security,Attack that makes a resource unavailable by overwhelming it with traffic or requests.
EDR,Endpoint Detection and Response,Security,Security solution continuously monitoring endpoints for threats and automating responses.
FDE,Full Disk Encryption,Security,Encryption converting all data on a drive to an unreadable format without the key.
FedRAMP,Federal Risk and Authorization Management Program,Security,US government program standardizing security assessment for cloud services.
GDPR,General Data Protection Regulation,Security,EU regulation governing data protection and privacy for individuals.
HE,Homomorphic Encryption,Security,Encryption scheme allowing computation on ciphertexts without decrypting.
HIPAA,Health Insurance Portability and Accountability Act,Security,US law establishing data privacy and security for medical information.
HOTP,HMAC-Based One-Time Password,Security,Event-driven OTP generated from a counter increment.
HSM,Hardware Security Module,Security,Physical device that safeguards and manages cryptographic keys.
IAST,Interactive Application Security Testing,Security,Security testing combining SAST and DAST by instrumenting the running application.
IDS,Intrusion Detection System,Security,System that monitors network traffic for suspicious activity and alerts.
IOC,Indicator of Compromise,Security,Forensic evidence suggesting a system may be breached.
IPS,Intrusion Prevention System,Security,System that actively blocks detected threats in addition to monitoring.
IPSec,Internet Protocol Security,Security,Protocol suite for secure encrypted IP communication.
ISO 27001,ISO 27001 Information Security Standard,Security,International standard for information security management systems.
JWE,JSON Web Encryption,Security,JWT variant that provides encrypted claims.
JWK,JSON Web Key,Security,JSON data structure representing a cryptographic key.
JWS,JSON Web Signature,Security,JWT variant providing signed payloads.
JWT,JSON Web Token,Security,Compact URL-safe token format for representing claims between parties.
KMS,Key Management Service,Security,Cloud service managing encryption keys with HSM-backed security.
LDAP,Lightweight Directory Access Protocol,Security,Open protocol for accessing and maintaining distributed directory information.
MFA,Multi-Factor Authentication,Security,Authentication method requiring two or more verification factors.
MITM,Man-in-the-Middle,Security,Attack where an adversary secretly intercepts and relays communications.
NAC,Network Access Control,Security,Security solution enforcing access policies on devices connecting to a network.
NIST,National Institute of Standards and Technology,Security,US agency producing cybersecurity frameworks and standards.
OAuth,Open Authorization,Security,Open standard for token-based access delegation without sharing passwords.
OCSP,Online Certificate Status Protocol,Security,Protocol for checking the revocation status of a digital certificate in real time.
OTP,One-Time Password,Security,Password valid for only a single login session or transaction.
OWASP,Open Web Application Security Project,Security,Nonprofit foundation improving software security through community-led open-source resources.
PCI DSS,Payment Card Industry Data Security Standard,Security,Security standard for organizations handling cardholder data.
PGP,Pretty Good Privacy,Security,Encryption program providing cryptographic privacy and authentication for data communication.
PII,Personally Identifiable Information,Security,"Data that can identify an individual, such as name, SSN, or email."
PKI,Public Key Infrastructure,Security,System managing public-key encryption and digital certificates.
RASP,Runtime Application Self-Protection,Security,Security technology embedded in runtime environments detecting and blocking attacks.
RAT,Remote Access Trojan,Security,Malware providing remote control of a compromised system.
RCE,Remote Code Execution,Security,Vulnerability allowing an attacker to execute arbitrary code on a target system.
SAML,Security Assertion Markup Language,Security,XML-based open standard for exchanging authentication and authorization data.
SAST,Static Application Security Testing,Security,White-box security testing analyzing source code for vulnerabilities without executing it.
SEIM,Security Event and Incident Management,Security,Real-time analysis of security alerts generated by network hardware and applications.
SIEM,Security Information and Event Management,Security,System aggregating and analyzing security logs from across an organization.
SOAR,"Security Orchestration, Automation, and Response",Security,Platform automating security incident response workflows.
SOC,Security Operations Center,Security,Centralized team and facility monitoring and defending an organization's security posture.
SOC2,Service Organization Control 2,Security,Auditing framework for service organizations' data security controls.
SPF,Sender Policy Framework,Security,Email authentication method verifying sender IP against domain policies.
SQLi,SQL Injection,Security,Attack exploiting unsafe database queries to execute arbitrary SQL.
SSO,Single Sign-On,Security,Authentication scheme allowing users to log in once across multiple applications.
SSRF,Server-Side Request Forgery,Security,Attack inducing a server to make unintended internal network requests.
TEE,Trusted Execution Environment,Security,Secure area within a main processor ensuring sensitive data is stored and processed securely.
TLS,Transport Layer Security,Security,Cryptographic protocol ensuring secure data transmission over networks.
TOTP,Time-Based One-Time Password,Security,OTP that changes after a fixed time interval using a shared secret.
TPM,Trusted Platform Module,Security,Dedicated microcontroller for hardware-level cryptographic operations.
WAF,Web Application Firewall,Security,"Security appliance filtering, monitoring, and blocking malicious HTTP traffic."
XDR,Extended Detection and Response,Security,Unified security platform integrating multiple detection and response capabilities.
XSS,Cross-Site Scripting,Security,Injection attack where malicious scripts are inserted into trusted web pages.
XXE,XML External Entity,Security,Attack exploiting XML parsers that process external entity references.
ZKP,Zero-Knowledge Proof,Security,Cryptographic method allowing one party to prove knowledge without revealing the knowledge itself.
ZTNA,Zero Trust Network Access,Security,Security model requiring strict identity verification for every access request.
mTLS,Mutual Transport Layer Security,Security,TLS variant where both client and server authenticate each other.
AJAX,Asynchronous JavaScript and XML,Web/Dev,Technique for creating asynchronous web requests without reloading the page.
API,Application Programming Interface,Web/Dev,Defined protocol enabling software components to request and exchange data.
ARIA,Accessible Rich Internet Applications,Web/Dev,W3C specification for improving web accessibility via HTML attributes.
Angular,Angular Web Framework,Web/Dev,TypeScript-based web application framework developed by Google.
Astro,Astro Web Framework,Web/Dev,Multi-page framework that ships zero JavaScript by default.
BFF,Backend for Frontend,Web/Dev,Service layer tailored specifically to a single frontend client.
BOM,Browser Object Model,Web/Dev,Browser-specific API exposing the browser window and navigator to JavaScript.
Babel,Babel JavaScript Compiler,Web/Dev,Tool that transpiles modern JavaScript into backward-compatible versions.
Biome,Biome Toolchain,Web/Dev,Modern toolchain for JavaScript/TypeScript including formatter and linter.
Bootstrap,Bootstrap CSS Framework,Web/Dev,Popular CSS framework with pre-built responsive components and grid system.
CJS,CommonJS,Web/Dev,Legacy JavaScript module system using require() and module.exports.
CLS,Cumulative Layout Shift,Web/Dev,Core Web Vital measuring visual stability of a page during loading.
CMS,Content Management System,Web/Dev,"Software that enables creating, editing, and publishing digital content."
CQRS,Command Query Responsibility Segregation,Web/Dev,Pattern separating read and write operations into different models.
CSR,Client-Side Rendering,Web/Dev,Rendering web pages entirely in the browser using JavaScript.
CSR,Client-Side Rendering,Web/Dev,Rendering web page content entirely in the browser via JavaScript.
CSRF,Cross-Site Request Forgery,Web/Dev,Attack that tricks a user into performing unintended actions on a web application.
CSS,Cascading Style Sheets,Web/Dev,Stylesheet language for describing the presentation of a document written in HTML.
Canvas,Canvas 2D API,Web/Dev,HTML5 element and JavaScript API for drawing 2D graphics programmatically.
Cypress,Cypress E2E Testing,Web/Dev,End-to-end testing framework running in-browser with real-time reloading.
DAM,Digital Asset Management,Web/Dev,"System for organizing, storing, and retrieving digital media assets."
DOM,Document Object Model,Web/Dev,Cross-platform API that treats HTML/XML documents as a tree structure.
ESBuild,ESBuild Bundler,Web/Dev,Extremely fast JavaScript bundler and minifier written in Go.
ESLint,ESLint Linter,Web/Dev,Pluggable linting utility for JavaScript and TypeScript.
ESM,ECMAScript Modules,Web/Dev,Standard module system for JavaScript using import/export syntax.
FCP,First Contentful Paint,Web/Dev,Time when the browser first renders content like text or images.
FID,First Input Delay,Web/Dev,Core Web Vital measuring the time from first user interaction to event handler response.
FOUC,Flash of Unstyled Content,Web/Dev,Brief appearance of unstyled content before CSS loads during page rendering.
FP,First Paint,Web/Dev,Time when the browser first renders any pixel on the screen.
FSD,Feature-Sliced Design,Web/Dev,Frontend architectural methodology organizing code by business features and layers.
GA,Google Analytics,Web/Dev,Web analytics service for tracking and reporting website traffic.
GTM,Google Tag Manager,Web/Dev,Tag management system for deploying marketing and analytics tags.
GraphQL,Graph Query Language,Web/Dev,API query language that allows clients to request exactly the data they need.
HMR,Hot Module Replacement,Web/Dev,Dev-server feature that updates modified modules in-place without a full page reload.
HTML,HyperText Markup Language,Web/Dev,Standard markup language for creating web pages and web applications.
HTTP,Hypertext Transfer Protocol,Web/Dev,"Application protocol for distributed, collaborative hypermedia information systems."
HTTPS,Hypertext Transfer Protocol Secure,Web/Dev,HTTP over TLS/SSL for secure web communication.
IIFE,Immediately Invoked Function Expression,Web/Dev,JavaScript function that executes as soon as it is defined.
INP,Interaction to Next Paint,Web/Dev,Metric measuring responsiveness of page interactions to be a Core Web Vital.
ISR,Incremental Static Regeneration,Web/Dev,Next.js strategy combining static generation with on-demand revalidation.
JS,JavaScript,Web/Dev,"High-level, interpreted programming language that conforms to the ECMAScript specification."
JSON,JavaScript Object Notation,Web/Dev,"Lightweight, text-based data-interchange format using key-value pairs."
Jest,Jest Testing Framework,Web/Dev,Delightful JavaScript testing framework with built-in mocking and code coverage.
LCP,Largest Contentful Paint,Web/Dev,Core Web Vital measuring the render time of the largest visible content element.
LESS,Leaner Style Sheets,Web/Dev,CSS preprocessor extending CSS with dynamic behavior features.
MPA,Multi-Page Application,Web/Dev,Web application architecture where each page is a separate HTML document.
Next,Next.js Framework,Web/Dev,"React framework enabling SSR, SSG, and hybrid rendering strategies."
NoSQL,Not Only SQL,Web/Dev,"Database category embracing non-relational models such as document, key-value, and graph."
Nuxt,Nuxt.js Framework,Web/Dev,"Vue framework supporting SSR, SSG, and hybrid rendering."
ODM,Object-Document Mapping,Web/Dev,Mapping layer between object-oriented code and document-oriented databases.
ORM,Object-Relational Mapping,Web/Dev,Technique for converting data between incompatible type systems using OOP.
PWA,Progressive Web Application,Web/Dev,Web application that uses modern capabilities to deliver an app-like experience.
Parcel,Parcel Bundler,Web/Dev,Zero-configuration web application bundler.
Pinia,Pinia State Management,Web/Dev,Vue state management library with TypeScript-first design.
Playwright,Playwright Browser Automation,Web/Dev,Cross-browser automation library for reliable E2E testing.
Prettier,Prettier Code Formatter,Web/Dev,Opinionated code formatter supporting multiple languages.
Puppeteer,Puppeteer Headless Chrome,Web/Dev,Node library providing a high-level API over the Chrome DevTools Protocol.
RWD,Responsive Web Design,Web/Dev,Design approach ensuring web pages render well on various screen sizes.
React,React UI Library,Web/Dev,JavaScript library for building user interfaces with a component-based declarative model.
Redux,Redux State Container,Web/Dev,Predictable state container for JavaScript apps with a unidirectional data flow.
Rome,Rome Toolchain,Web/Dev,"Unified toolchain for linting, formatting, and bundling JavaScript/TypeScript."
SEO,Search Engine Optimization,Web/Dev,Practices to increase website visibility and ranking in search engine results.
SPA,Single Page Application,Web/Dev,Web application that dynamically rewrites the current page rather than loading entire new pages.
SQL,Structured Query Language,Web/Dev,Domain-specific language for managing and querying relational databases.
SSG,Static Site Generator,Web/Dev,Tool that generates a complete static HTML site from raw data and templates at build time.
SSR,Server-Side Rendering,Web/Dev,Rendering web pages on the server and sending fully rendered HTML to the client.
SSR,Server-Side Rendering,Web/Dev,Rendering web page content on the server to send fully rendered HTML to clients.
SVG,Scalable Vector Graphics,Web/Dev,XML-based vector image format for the web.
SWC,Speedy Web Compiler,Web/Dev,Rust-based platform for compiling and bundling JavaScript/TypeScript.
SWR,Stale-While-Revalidate,Web/Dev,"Data-fetching strategy that returns cached data first, then revalidates in the background."
Sass,Syntactically Awesome Style Sheets,Web/Dev,"CSS preprocessor adding variables, nesting, and mixins."
Solid,Solid.js Framework,Web/Dev,Reactive JavaScript framework with fine-grained reactivity and no virtual DOM.
Storybook,Storybook UI Explorer,Web/Dev,Tool for developing and documenting UI components in isolation.
Svelte,Svelte Compiler,Web/Dev,Compiled JavaScript framework that shifts work from runtime to build time.
TBT,Total Blocking Time,Web/Dev,Sum of all time periods between FCP and TTI where main thread was blocked.
TS,TypeScript,Web/Dev,Typed superset of JavaScript that compiles to plain JavaScript.
TTI,Time to Interactive,Web/Dev,Time when a page becomes fully interactive with responsive event handlers.
Tailwind,Tailwind CSS Framework,Web/Dev,Utility-first CSS framework with low-level composition classes.
TanStack,TanStack Query,Web/Dev,Async state management library for server-state caching and synchronization.
Turbopack,Turbopack Bundler,Web/Dev,"Incremental bundler written in Rust, designed for large applications."
UI,User Interface,Web/Dev,Visual and interactive elements through which users interact with a system.
URI,Uniform Resource Identifier,Web/Dev,String of characters that unambiguously identifies a particular resource.
URL,Uniform Resource Locator,Web/Dev,Reference to a web resource specifying its location on a computer network.
UX,User Experience,Web/Dev,Overall experience a user has when interacting with a product or service.
Vite,Vite Build Tool,Web/Dev,Fast build tool and dev server using native ES modules under the hood.
Vitest,Vitest Testing Framework,Web/Dev,Vite-native unit testing framework with Jest-compatible API.
Vue,Vue.js Framework,Web/Dev,Progressive JavaScript framework for building UIs with a reactive component model.
WCAG,Web Content Accessibility Guidelines,Web/Dev,International standards for making web content accessible to people with disabilities.
WebGL,Web Graphics Library,Web/Dev,JavaScript API for rendering 2D/3D graphics in the browser without plugins.
WebRTC,Web Real-Time Communication,Web/Dev,"Protocol enabling peer-to-peer audio, video, and data sharing in the browser."
WebSocket,WebSocket Protocol,Web/Dev,Full-duplex communication protocol over a single TCP connection for real-time apps.
Webpack,Webpack Module Bundler,Web/Dev,Static module bundler for JavaScript applications.
Webpack,Webpack Bundler,Web/Dev,Module bundler that transforms frontend assets for production.
XML,eXtensible Markup Language,Web/Dev,Markup language defining rules for encoding documents in a human- and machine-readable format.
XSS,Cross-Site Scripting,Web/Dev,Security vulnerability allowing injection of malicious scripts into web pages.
YAML,YAML Ain't Markup Language,Web/Dev,Human-readable data serialization standard used for configuration files.
Zustand,Zustand State Management,Web/Dev,"Tiny, fast, scalable state management library for React."
jQuery,jQuery JavaScript Library,Web/Dev,"Fast, small JavaScript library simplifying HTML document traversal and manipulation."
tRPC,TypeScript Remote Procedure Call,Web/Dev,Full-stack TypeScript framework for building type-safe APIs without code generation.
